id,code,name
1,2130613,ADRA CHILE 10% CENTRALIZADO (2130613)
2,1040298,FAE ADRA LA SERENA (1040298)
3,1040299,PRO ADRA LA SERENA (1040299)
4,1040300,FAE ADRA COQUIMBO (1040300)
5,1040301,PRO ADRA COQUIMBO (1040301)
6,1040359,PIE ADRA COQUIMBO (1040359)
7,1040302,FAE ADRA OVALLE (1040302)
8,1040303,PRO ADRA OVALLE (1040303)
9,1040491,FAE ADRA COQUIMBO (1040491)
10,1040492,PRO ADRA COQUIMBO (1040492)
11,1040493,FAE ADRA LA SERENA (1040493)
12,1040494,PRO ADRA LA SERENA (1040494)
13,1040489,FAE ADRA OVALLE (1040489)
14,1040490,PRO ADRA OVALLE (1040490)
15,1051026,FAE ADRA VIÑA DEL MAR (1051026)
16,1051027,PRO ADRA VIÑA DEL MAR (1051027)
17,1051024,FAE ADRA SAN FELIPE (1051024)
18,1051025,PRO ADRA SAN FELIPE (1051025)
19,1051269,FAE ADRA SAN FELIPE (1051269)
20,1051270,PRO ADRA SAN FELIPE (1051270)
21,1051278,FAE ADRA VIÑA DEL MAR (1051278)
22,1051279,PRO ADRA VIÑA DEL MAR (1051279)
23,1070525,PRI ADRA MAULE (1070525)
24,1070543,PIE ADRA CURICÓ (1070543)
25,1070544,FAE ADRA TALCA (1070544)
26,1070545,PRO ADRA TALCA (1070545)
27,1070546,FAE ADRA LINARES (1070546)
28,1070547,PRO ADRA LINARES (1070547)
29,1070579,FAE ADRA CURICÓ (1070579)
30,1070580,PRO ADRA CURICÓ (1070580)
31,1070696,FAE ADRA TALCA (1070696)
32,1070670,PRO ADRA TALCA (1070670)
33,1070698,FAE ADRA TALCA 2 (1070698)
34,1070699,PRO ADRA TALCA 2 (1070699)
35,1070700,FAE ADRA LINARES (1070700)
36,1070701,PRO ADRA LINARES (1070701)
37,1070702,FAE ADRA LINARES 2 (1070702)
38,1070703,PRO ADRA LINARES 2 (1070703)
39,1070704,FAE ADRA CURICÓ 2 (1070704)
40,1070705,PRO ADRA CURICÓ 2 (1070705)
41,1070743,FAE ADRA CURICÓ 1 (1070743)
42,1070744,PRO ADRA CURICÓ 1 (1070744)
43,1080837,FAE ADRA CONCEPCIÓN 3 (1080837)
44,1080838,PRO ADRA CONCEPCIÓN 3 (1080838)
45,1080839,FAE ADRA CONCEPCIÓN 4 (1080839)
46,1080840,PRO ADRA CONCEPCIÓN 4 (1080840)
47,1081011,FAE ADRA LOS ÁNGELES (1081011)
48,1081033,PRO ADRA LOS ÁNGELES (1081033)
49,1081026,FAE ADRA CONCEPCIÓN 1 (1081026)
50,1081027,PRO ADRA CONCEPCIÓN 1 (1081027)
51,1081028,FAE ADRA CONCEPCIÓN 2 (1081028)
52,1081029,PRO ADRA CONCEPCIÓN 2 (1081029)
53,1081110,FAE ADRA TALCAHUANO (1081110)
54,1081111,PRO ADRA TALCAHUANO (1081111)
55,1081112,FAE ADRA SAN PEDRO DE LA PAZ (1081112)
56,1081113,PRO ADRA SAN PEDRO DE LA PAZ (1081113)
57,1081157,FAE ADRA CONCEPCIÓN 3 (1081157)
58,1081158,PRO ADRA CONCEPCIÓN 3 (1081158)
59,1081159,FAE ADRA CONCEPCIÓN 4 (1081159)
60,1081160,PRO ADRA CONCEPCIÓN 4 (1081160)
61,1090525,PRM ADRA TEMUCO (1090525)
62,1090653,PRM ADRA TEMUCO (1090653)
63,1132028,FAE ADRA LA FLORIDA (1132028)
64,1132029,PRO ADRA LA FLORIDA (1132029)
65,1132038,FAE ADRA PEÑALOLÉN (1132038)
66,1132029,PRO ADRA PEÑALOLÉN (1132029)
67,1132026,FAE ADRA SAN RAMÓN (1132026)
68,1132027,PRO ADRA SAN RAMÓN (1132027)
69,1132030,FAE ADRA LA CISTERNA (1132030)
70,1132031,PRO ADRA LA CISTERNA (1132031)
71,1132040,FAE ADRA ESTACIÓN CENTRAL (1132040)
72,1032041,PRO ADRA ESTACIÓN CENTRAL (1032041)
73,1132036,FAE ADRA MELIPILLA (1132036)
74,1132037,PRO ADRA MELIPILLA (1132037)
75,1132427,FAE ADRA MELIPILLA (1132427)
76,1132428,PRO ADRA MELIPILLA (1132428)
77,1132353,FAE ADRA RECOLETA 2 (1132353)
78,1132354,PRO ADRA RECOLETA 2 (1132354)
79,1132429,FAE ADRA PEÑALOLÉN (1132429)
80,1132430,PRO ADRA PEÑALOLÉN 2 (1132430)
81,1132355,FAE ADRA PEÑALOLÉN 2 (1132355)
82,1132356,PRO ADRA PEÑALOLÉN 2 (1132356)
83,1132173,FAE ADRA SANTIAGO 1 (1132173)
84,1132174,PRO ADRA SANTIAGO 1 (1132174)
85,1132034,FAE ADRA CERRO NAVIA (1132034)
86,1132035,PRO ADRA CERRO NAVIA (1132035)
87,1132191,PRM ADRA CALERA DE TANGO (1132191)
88,1132645,PRM ADRA CALERA DE TANGO (1132645)
89,1132120,PRM ADRA MELIPILLA (1132120)
90,1132119,PRM ADRA CURACAVÍ (1132119)
91,1132431,FAE ADRA PEDRO AGUIRRE CERDA (1132431)
92,1132432,PRO ADRA PEDRO AGUIRRE CERDA (1132432)
93,1132433,FAE ADRA RENCA (1132433)
94,1132434,PRO ADRA RENCA (1132434)
95,1132435,FAE ADRA SAN RAMÓN (1132435)
96,1132436,PRO ADRA SAN RAMÓN (1132436)
97,1132437,FAE ADRA SAN MIGUEL (1132437)
98,1132438,PRO ADRA SAN MIGUEL (1132438)
99,1132638,FAE ADRA SAN MIGUEL 2 (1132638)
100,1132639,PRO ADRA SAN MIGUEL 2 (1132639)
101,1132439,FAE ADRA ESTACIÓN CENTRAL (1132439)
102,1132440,PRO ADRA ESTACIÓN CENTRAL (1132440)
103,1132443,FAE ADRA LA FLORIDA (1132443)
104,1132444,PRO ADRA LA FLORIDA (1132444)
105,1132441,FAE ADRA SANTIAGO 2 (1132441)
106,1132442,PRO ADRA SANTIAGO 2 (1132442)
107,1132548,PRM ADRA MELIPILLA (1132548)
108,1132549,PRM ADRA CURACAVÍ (1132549)
109,1160013,PRM ADRA YUNGAY (1160013)
110,1081218,FAE ADRA LOS ANGELES (1081218)
111,1081219,PRO ADRA LOS ÁNGELES (1081219)
112,1081239,FAE ADRA CONCEPCIÓN 1 (1081239)
113,1081240,PRO ADRA CONCEPCIÓN 1 (1081240)
114,1081241,FAE ADRA CONCEPCIÓN 2 (1081241)
115,1081242,PRO ADRA CONCEPCIÓN 2 (1081242)